日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2017-08-25,'600051,宁波联合,10.15,10.28,9.56,9.56,9.57,0.58,6.0606,2.9418,9145378,91025567.0,3155432000.0,3155432000.0,None
2017-08-24,'600051,宁波联合,9.57,9.71,9.56,9.65,9.67,-0.1,-1.0341,0.5762,1791400,17283248.0,2975121600.0,2975121600.0,None
2017-08-23,'600051,宁波联合,9.67,9.77,9.62,9.75,9.79,-0.12,-1.2257,0.4558,1417079,13736131.0,3006209600.0,3006209600.0,None
2017-08-22,'600051,宁波联合,9.79,9.82,9.66,9.76,9.77,0.02,0.2047,0.7799,2424500,23574359.0,3043515200.0,3043515200.0,None
2017-08-21,'600051,宁波联合,9.77,9.81,9.63,9.63,9.64,0.13,1.3485,0.8258,2567371,24998401.0,3037297600.0,3037297600.0,None
2017-08-18,'600051,宁波联合,9.64,9.72,9.62,9.67,9.72,-0.08,-0.823,0.6313,1962458,18954203.0,2996883200.0,2996883200.0,None
2017-08-17,'600051,宁波联合,9.72,9.75,9.46,9.49,9.52,0.2,2.1008,1.2589,3913605,37694275.0,3021753600.0,3021753600.0,None
2017-08-16,'600051,宁波联合,9.52,9.52,9.32,9.47,9.47,0.05,0.528,0.9519,2959354,27926040.0,2959577600.0,2959577600.0,None
2017-08-15,'600051,宁波联合,9.47,9.49,9.38,9.45,9.48,-0.01,-0.1055,0.8622,2680413,25288724.0,2944033600.0,2944033600.0,None
2017-08-14,'600051,宁波联合,9.48,9.49,9.27,9.29,9.3,0.18,1.9355,1.0011,3112192,29352450.0,2947142400.0,2947142400.0,None
2017-08-11,'600051,宁波联合,9.3,9.53,9.2,9.52,9.52,-0.22,-2.3109,1.1061,3438626,32217182.0,2891184000.0,2891184000.0,None
2017-08-10,'600051,宁波联合,9.52,9.83,9.5,9.8,9.82,-0.3,-3.055,1.2308,3826390,36946784.0,2959577600.0,2959577600.0,None
2017-08-09,'600051,宁波联合,9.82,9.85,9.71,9.76,9.76,0.06,0.6148,0.8073,2482231,24307281.0,3052841600.0,3019532160.0,None
2017-08-08,'600051,宁波联合,9.76,9.89,9.71,9.88,9.87,-0.11,-1.1145,1.153,3545340,34605093.0,3034188800.0,3001082880.0,None
