ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ,³É½»±ÊÊý
2017-08-25,'600624,¸´µ©¸´»ª,7.63,7.68,7.53,7.6,7.6,0.03,0.3947,0.7824,5356893,40861329.0,5224352636.3,5224352636.3,None
2017-08-24,'600624,¸´µ©¸´»ª,7.6,7.66,7.49,7.52,7.59,0.01,0.1318,0.9919,6791680,51368368.0,5203811276.0,5203811276.0,None
2017-08-23,'600624,¸´µ©¸´»ª,7.59,7.7,7.53,7.66,7.68,-0.09,-1.1719,0.9595,6569588,49974308.0,5196964155.9,5196964155.9,None
2017-08-22,'600624,¸´µ©¸´»ª,7.68,7.79,7.61,7.75,7.8,-0.12,-1.5385,1.5193,10402543,79787532.0,5258588236.8,5258588236.8,None
2017-08-21,'600624,¸´µ©¸´»ª,7.8,7.82,7.72,7.82,7.86,-0.06,-0.7634,1.5633,10703819,83136145.0,5340753678.0,5340753678.0,None
2017-08-18,'600624,¸´µ©¸´»ª,7.86,7.91,7.7,7.8,7.95,-0.09,-1.1321,2.764,18925178,147884845.0,5381836398.6,5381836398.6,None
2017-08-17,'600624,¸´µ©¸´»ª,7.95,8.1,7.55,7.6,7.65,0.3,3.9216,5.1823,35483961,279085054.0,5443460479.5,5443460479.5,None
2017-08-16,'600624,¸´µ©¸´»ª,7.65,7.76,7.32,7.38,7.37,0.28,3.7992,2.861,19589830,149058983.0,5238046876.5,5238046876.5,None
2017-08-15,'600624,¸´µ©¸´»ª,7.37,7.5,7.31,7.43,7.45,-0.08,-1.0738,1.1348,7770449,57485391.0,5046327513.7,5046327513.7,None
2017-08-14,'600624,¸´µ©¸´»ª,7.45,7.46,7.18,7.18,7.18,0.27,3.7604,1.3283,9094913,67127808.0,5101104474.5,5101104474.5,None
2017-08-11,'600624,¸´µ©¸´»ª,7.18,7.39,7.16,7.31,7.39,-0.21,-2.8417,1.3457,9214207,67070012.0,4916232231.8,4916232231.8,None
2017-08-10,'600624,¸´µ©¸´»ª,7.39,7.59,7.28,7.51,7.54,-0.15,-1.9894,1.6026,10973516,81610595.0,5060021753.9,5060021753.9,None
2017-08-09,'600624,¸´µ©¸´»ª,7.54,7.59,7.35,7.39,7.43,0.11,1.4805,1.7768,12165681,91046244.0,5162728555.4,5162728555.4,None
2017-08-08,'600624,¸´µ©¸´»ª,7.43,7.44,7.31,7.42,7.48,-0.05,-0.6684,1.5582,10669129,78659486.0,5087410234.3,5087410234.3,None
2017-08-07,'600624,¸´µ©¸´»ª,7.48,7.61,7.21,7.22,7.25,0.23,3.1724,2.9515,20209564,151340281.0,5121645834.8,5121645834.8,None
2017-08-04,'600624,¸´µ©¸´»ª,7.25,7.44,7.19,7.24,7.25,0.0,0.0,1.9284,13203832,96548435.0,4964162072.5,4964162072.5,None
